PartitionKey,RowKey,Timestamp,HtmlURL,HtmlURL@type,Name,Name@type,PublishedAt,PublishedAt@type,RepositoryName,RepositoryName@type,RepositoryOwner,RepositoryOwner@type,TagName,TagName@type,UpdatedAt,UpdatedAt@type
History,SAP|luigi,2021-07-22T00:00:06.128Z,https://github.com/SAP/luigi/releases/tag/v1.14.3,Edm.String,v1.14.3,Edm.String,2021-07-21T20:33:25.000Z,Edm.DateTime,luigi,Edm.String,SAP,Edm.String,v1.14.3,Edm.String,2021-07-22T00:00:06.052Z,Edm.DateTime
History,gardener|gardener,2021-07-25T08:13:26.895Z,https://github.com/gardener/gardener/releases/tag/v1.27.2,Edm.String,v1.27.2,Edm.String,2021-07-21T21:45:23.000Z,Edm.DateTime,gardener,Edm.String,gardener,Edm.String,v1.27.2,Edm.String,2021-07-25T08:07:24.368Z,Edm.DateTime
History,kyma-project|cli,2021-07-02T18:00:02.394Z,https://github.com/kyma-project/cli/releases/tag/1.24.0,Edm.String,1.24.0,Edm.String,2021-07-02T14:56:45.000Z,Edm.DateTime,cli,Edm.String,kyma-project,Edm.String,1.24.0,Edm.String,2021-07-02T18:00:02.340Z,Edm.DateTime
History,kyma-project|kyma,2021-07-02T18:00:02.436Z,https://github.com/kyma-project/kyma/releases/tag/1.24.0,Edm.String,1.24.0,Edm.String,2021-07-02T13:35:27.000Z,Edm.DateTime,kyma,Edm.String,kyma-project,Edm.String,1.24.0,Edm.String,2021-07-02T18:00:02.388Z,Edm.DateTime
